STCODE,STNAME,DIST,DISTNAME,YEAR,CATL_T,CATL_AM,CATL_AF,CATL_YM,CATL_YF,CATL_YMF,BUFF_T,BUFF_AM,BUFF_AF,BUFF_YM,BUFF_YF,BUFF_YMF,SHEEP_T,GOAT_T,HORSE_T,DONKEY_T,CAMEL_T,PIG_T,LIVESTOCK_T,POULTRY_T
2,Bihar,901,Champaran,1966,799.53,416.20,205.04,97.73,80.56,178.29,212.49,15.55,108.51,36.54,51.90,88.43,14.67,542.31,5.25,3.17,0.00,13.05,1590.54,261.94
2,Bihar,901,Champaran,1972,863.50,480.99,220.41,85.41,76.70,162.11,242.14,21.52,139.77,30.50,50.36,80.86,12.01,622.90,4.20,2.81,0.02,16.80,1764.38,353.13
2,Bihar,901,Champaran,1977,794.24,456.47,194.46,73.24,70.08,143.32,257.81,26.69,131.58,41.33,58.22,99.55,14.81,785.47,3.30,2.19,0.03,16.40,1873.77,413.77
2,Bihar,901,Champaran,2003,609.86,218.54,183.66,82.21,125.45,207.66,397.87,11.54,209.11,48.78,128.44,177.22,14.85,824.57,0.00,1.18,0.02,33.47,1881.82,947.91
2,Bihar,901,Champaran,2007,1029.61,245.00,395.44,-1.00,-1.00,389.17,665.64,34.42,351.42,-1.00,-1.00,279.82,1.99,1445.28,7.05,1.06,0.00,42.37,3193.00,919.49
2,Bihar,901,901,2012,1072.73,185.68,514.99,118.93,253.15,372.08,1420.41,56.54,426.15,95.29,842.43,937.72,4.60,1720.83,6.14,1.39,0.99,40.49,4267.59,1347.93
2,Bihar,902,Muzaffarpur,1966,837.23,469.45,190.83,89.25,87.70,176.95,236.90,1.96,138.08,32.68,64.17,96.85,10.86,608.06,4.14,4.92,0.01,7.44,1709.57,177.47
2,Bihar,902,Muzaffarpur,1972,787.43,486.21,173.98,62.19,65.06,127.25,259.73,4.00,173.51,23.54,58.68,82.23,10.12,567.67,3.61,4.21,0.01,10.35,1643.13,217.84
2,Bihar,902,Muzaffarpur,1977,723.02,470.56,140.76,54.97,56.73,111.71,311.84,6.74,181.07,41.15,82.89,124.03,9.89,751.18,2.82,3.32,0.00,9.28,1815.34,204.87
2,Bihar,902,Muzaffarpur,2003,941.67,217.27,339.52,151.40,233.49,384.87,637.47,16.92,319.40,104.49,196.66,301.16,20.03,1020.49,0.00,3.36,0.09,37.78,2660.89,1360.27
2,Bihar,902,Muzaffarpur,2007,854.21,267.89,307.72,-1.00,-1.00,278.60,645.39,12.82,365.66,-1.00,-1.00,266.92,8.43,1101.99,1.48,1.61,0.02,26.23,2639.35,1106.18
2,Bihar,902,Muzaffarpur,2012,748.44,117.76,388.50,70.12,172.06,242.18,679.56,13.09,426.12,62.26,178.09,240.34,3.69,1324.85,1.35,0.73,0.00,14.90,2773.49,1937.10
2,Bihar,903,Darbhanga,1966,1029.77,468.08,279.99,135.30,146.41,281.70,263.68,1.34,152.82,32.81,76.72,109.52,9.61,438.05,5.78,1.33,0.00,11.12,1759.36,271.87
2,Bihar,903,Darbhanga,1972,963.63,496.63,264.91,96.39,105.70,202.09,295.95,3.57,195.17,24.54,72.67,97.20,9.30,379.79,4.86,0.89,0.00,14.15,1668.56,303.32
2,Bihar,903,Darbhanga,1977,880.13,490.01,213.17,82.83,94.13,176.96,358.60,5.70,207.26,46.75,98.89,145.64,9.74,556.87,5.39,0.54,0.01,13.12,1824.41,288.10
2,Bihar,903,Darbhanga,2003,1039.50,358.68,335.20,111.99,233.62,345.62,655.51,9.10,348.20,83.69,214.52,298.21,48.37,820.40,0.00,0.16,0.03,21.81,2585.78,1011.53
2,Bihar,903,Darbhanga,2007,1044.10,277.51,421.27,-1.00,-1.00,345.30,655.53,6.91,374.86,-1.00,-1.00,273.77,3.89,753.77,1.34,2.77,0.00,21.53,2482.91,911.15
2,Bihar,903,Darbhanga,2012,1252.09,214.21,587.28,103.39,347.18,450.59,842.83,16.92,469.40,64.89,291.61,356.51,4.32,1088.88,2.32,0.89,0.07,27.82,3219.22,1290.23
2,Bihar,904,Saharsa,1966,841.92,341.58,264.45,118.94,116.96,235.90,187.40,4.37,104.44,34.46,44.13,78.59,4.04,293.14,16.02,0.09,0.00,8.29,1350.96,142.39
2,Bihar,904,Saharsa,1972,684.08,317.76,198.07,81.45,86.81,168.26,201.40,14.67,121.54,26.48,38.70,65.19,2.85,222.58,12.85,0.03,0.00,11.85,1135.64,182.37
2,Bihar,904,Sahersa,1977,693.29,304.28,198.62,102.95,87.45,190.40,282.64,30.43,134.37,48.10,69.74,117.85,3.72,421.23,11.63,0.02,0.00,13.88,1418.42,199.11
2,Bihar,904,Saharsa,2003,915.08,297.31,255.00,129.23,233.55,362.77,396.90,12.74,199.94,60.01,124.22,184.23,7.06,955.51,0.00,0.04,0.00,22.91,2297.50,596.53
2,Bihar,904,Saharsa,2007,791.00,227.57,280.77,-1.00,-1.00,282.65,389.94,14.08,207.88,-1.00,-1.00,167.99,9.72,628.66,2.94,0.07,0.00,19.78,1842.09,322.66
2,Bihar,904,Saharsa,2012,773.00,169.86,345.04,79.37,178.72,258.09,475.22,19.17,296.42,42.92,116.71,159.63,16.43,795.56,3.83,2.63,4.38,21.72,2092.76,313.70
2,Bihar,905,Purnea,1966,1376.11,659.03,337.27,192.61,187.20,379.81,247.65,34.05,116.66,44.54,52.40,96.94,14.22,732.57,28.01,0.06,0.00,20.98,2419.79,1508.99
2,Bihar,905,Purnea,1972,1198.18,625.83,302.92,133.34,136.10,269.44,245.34,48.55,127.03,30.80,38.96,69.76,8.44,698.77,22.72,0.11,0.00,24.21,2197.78,1836.00
2,Bihar,905,Purnea,1977,1167.39,555.12,322.50,141.47,148.31,289.78,309.17,59.03,145.09,49.39,55.67,105.06,9.82,963.40,16.07,0.04,0.00,26.41,2492.32,1972.37
2,Bihar,905,Purnea,2003,1463.66,382.77,454.49,267.40,359.01,626.41,496.49,63.52,187.55,124.39,121.04,245.42,7.84,1619.90,0.00,0.48,0.06,67.59,3656.02,4173.34
2,Bihar,905,Purnea,2007,2435.95,530.96,872.64,-1.00,-1.00,1032.37,623.72,78.74,268.59,-1.00,-1.00,276.39,3.53,2226.83,3.54,0.11,0.00,59.31,5352.97,3215.45
2,Bihar,905,Purnia,2012,2193.14,399.95,961.93,260.07,571.20,831.27,578.98,60.40,288.38,80.44,149.78,230.21,10.90,2482.64,10.58,0.89,0.94,69.29,5347.36,2893.03
2,Bihar,906,Saran,1966,655.18,335.29,155.47,77.40,87.03,164.42,216.45,0.52,129.85,21.08,64.99,86.07,31.25,419.33,6.89,11.70,0.02,11.92,1352.79,97.91
2,Bihar,906,Saran,1972,656.18,384.52,147.35,60.73,63.58,124.31,224.91,0.70,152.50,15.07,56.64,71.71,27.14,406.66,3.15,12.23,0.05,18.07,1348.41,106.54
2,Bihar,906,Saran,1977,659.82,409.54,135.08,54.39,60.83,115.20,268.06,1.15,162.80,28.06,76.07,104.11,24.24,556.10,2.99,12.12,0.07,17.44,1540.91,162.03
2,Bihar,906,Saran,2003,665.93,152.56,243.06,99.14,171.18,270.31,413.50,4.84,230.18,37.32,141.15,178.48,11.50,585.62,0.00,5.37,0.02,30.56,1712.50,701.35
2,Bihar,906,Saran,2007,791.38,122.56,336.13,-1.00,-1.00,332.67,464.03,4.68,271.79,-1.00,-1.00,187.56,10.53,528.08,3.27,6.12,0.02,48.73,1852.13,941.96
2,Bihar,906,Saran,2012,804.46,63.21,447.70,76.16,217.41,293.57,451.76,5.97,280.21,31.86,133.71,165.57,7.40,633.22,3.03,2.64,1.25,25.03,1928.79,702.98
2,Bihar,907,Patna,1966,546.37,276.16,120.55,69.46,80.20,149.66,265.86,27.02,129.14,40.86,68.85,109.70,25.06,263.40,4.77,1.55,0.00,26.86,1134.02,227.42
2,Bihar,907,Patna,1972,472.49,263.42,105.20,48.33,55.54,103.87,250.66,26.30,137.80,30.43,56.13,86.56,14.11,184.24,3.72,1.16,0.01,33.03,959.44,234.19
2,Bihar,907,Patna,1977,451.00,251.97,104.36,42.82,51.84,94.67,341.29,37.58,164.81,50.74,88.16,138.90,20.52,306.29,3.20,0.90,0.03,30.59,1153.89,246.28
2,Bihar,907,Patna,2003,507.19,140.70,204.03,46.47,116.00,162.47,485.05,23.31,264.80,46.30,150.65,196.95,23.70,368.72,0.00,0.51,0.01,74.08,1459.26,751.03
2,Bihar,907,Patna,2007,482.97,88.90,217.67,-1.00,-1.00,176.40,510.41,17.57,283.10,-1.00,-1.00,209.74,11.85,316.66,3.28,0.39,0.00,52.16,1377.73,964.55
2,Bihar,907,Patna,2012,481.84,33.71,280.49,41.62,126.03,167.64,610.19,13.58,376.48,54.14,165.98,220.12,21.44,336.37,2.20,0.45,0.04,61.42,1513.93,921.30
2,Bihar,908,Monghyr,1966,926.54,366.48,269.04,140.75,150.28,291.02,183.05,31.18,87.90,23.56,40.42,63.98,25.87,483.26,7.73,0.54,0.00,29.80,1657.03,298.50
2,Bihar,908,Monghyr,1972,859.78,354.55,265.59,113.50,126.13,239.63,187.33,32.13,103.15,16.39,35.66,52.05,20.98,402.49,7.90,0.28,0.01,42.15,1520.91,272.14
2,Bihar,908,Monghyr,1977,876.59,355.90,273.99,115.79,130.91,246.71,266.40,41.47,122.61,33.86,68.48,102.33,25.17,542.76,9.66,0.29,0.00,38.00,1757.89,354.07
2,Bihar,908,Munger,2003,1194.57,242.87,438.04,149.87,363.80,513.67,400.69,26.13,199.63,44.98,129.99,174.95,19.29,929.92,0.00,0.04,0.20,80.64,2625.35,830.05
2,Bihar,908,Munger,2007,1526.69,247.03,655.17,-1.00,-1.00,624.47,531.59,35.79,269.63,-1.00,-1.00,226.17,15.67,1000.64,16.84,0.24,0.02,56.59,3148.26,596.89
2,Bihar,908,Munger,2012,1421.19,198.70,716.27,143.10,363.13,506.23,422.00,18.91,239.28,44.17,119.67,163.82,13.48,1151.07,11.32,0.65,0.00,57.46,3077.18,837.77
2,Bihar,909,Bhagalpur,1966,580.47,235.50,158.72,89.63,96.62,186.25,124.75,29.88,54.20,19.19,21.49,40.68,22.35,330.81,5.88,0.30,0.00,11.09,1075.68,193.12
2,Bihar,909,Bhagalpur,1972,562.69,235.12,168.89,77.12,81.56,158.68,118.38,30.69,58.98,11.99,16.72,28.71,24.58,300.40,4.63,0.59,0.01,21.45,1032.72,257.85
2,Bihar,909,Bhagalpur,1977,586.34,239.09,175.22,82.62,89.40,172.03,153.43,38.36,68.40,21.10,25.57,46.67,30.90,424.82,7.30,0.21,0.00,18.46,1221.48,345.41
2,Bihar,909,Bhagalpur,2003,800.75,196.10,281.12,129.02,194.51,323.53,214.88,26.28,82.17,33.94,72.49,106.43,24.82,688.62,0.00,0.17,0.00,36.76,1766.00,815.39
2,Bihar,909,Bhagalpur,2007,873.89,156.96,371.91,-1.00,-1.00,345.04,330.28,28.10,164.10,-1.00,-1.00,138.08,7.66,686.65,4.11,0.32,0.03,21.04,1923.97,611.43
2,Bihar,909,Bhagalpur,2012,1061.57,144.36,489.28,97.99,329.95,427.94,332.74,23.46,186.05,31.73,91.50,123.23,16.65,958.48,1.76,0.37,0.03,30.40,2402.00,569.73
2,Bihar,910,Santhal Parganas,1966,1318.86,535.52,409.80,182.32,191.22,373.54,235.43,89.61,79.70,36.24,29.88,66.13,242.54,844.97,8.44,0.13,0.00,195.67,2846.10,1530.72
2,Bihar,910,Santhal Parganas,1972,1508.53,688.65,479.43,162.32,178.14,340.46,201.78,86.19,77.19,19.75,18.65,38.40,192.63,686.62,6.94,0.08,0.00,262.33,2858.91,1865.48
2,Bihar,910,Santhal Parganas,1977,1620.00,718.23,502.88,193.07,205.83,398.90,211.31,78.11,81.68,26.71,24.81,51.52,243.86,952.76,6.19,0.10,0.00,239.89,3274.15,2275.36
2,Bihar,911,Sahahbad,1966,943.90,456.96,246.66,109.31,130.97,240.28,335.86,0.67,193.42,38.29,103.47,141.77,124.79,202.24,7.15,7.85,0.08,23.12,1645.50,227.77
2,Bihar,911,Sahahbad,1972,918.89,462.13,240.75,100.15,115.86,216.01,343.97,1.15,214.57,32.21,96.05,128.26,107.82,207.03,7.02,7.54,0.09,32.56,1625.26,251.95
2,Bihar,911,Shahabad,1977,999.82,457.66,337.53,91.89,112.75,204.64,489.12,1.06,295.96,50.59,141.51,192.10,91.00,343.12,8.17,7.68,0.10,37.87,1977.60,338.12
2,Bihar,911,Shahabad,2003,454.48,84.52,180.88,56.44,132.66,189.10,552.72,4.52,295.59,46.50,206.10,252.61,72.49,329.25,0.00,9.01,0.16,29.63,1447.74,548.18
2,Bihar,911,Shahabad,2007,862.47,50.14,453.35,-1.00,-1.00,358.97,928.77,7.10,535.84,-1.00,-1.00,385.85,99.58,408.86,5.84,10.35,0.11,41.36,2357.32,558.47
2,Bihar,911,911,2012,965.79,41.98,620.06,76.27,227.48,303.74,904.72,9.68,566.28,67.36,261.42,328.77,91.38,677.13,4.78,10.09,0.80,158.76,2813.44,558.41
2,Bihar,912,Gaya,1966,1223.19,586.58,300.68,165.04,170.89,335.93,401.03,92.58,166.33,63.28,78.84,142.12,130.82,483.85,2.58,0.60,0.01,68.95,2311.10,546.18
2,Bihar,912,Gaya,1972,1159.59,554.74,286.55,158.09,160.21,318.30,381.70,65.25,184.35,55.38,76.72,132.10,74.21,466.50,2.30,0.39,0.00,92.51,2177.25,554.77
2,Bihar,912,Gaya,1977,1162.09,578.50,282.31,146.17,155.11,301.27,468.42,89.81,201.25,69.26,108.11,177.37,84.94,730.37,1.92,0.34,0.00,89.18,2537.33,671.50
2,Bihar,912,Gaya,2003,1423.44,556.76,402.75,186.29,277.63,463.92,674.69,70.29,324.92,85.47,194.01,279.48,78.06,1059.50,0.00,0.68,0.02,209.08,3445.47,1699.14
2,Bihar,912,Gaya,2007,1715.80,522.57,606.80,-1.00,-1.00,586.43,945.15,89.05,453.56,-1.00,-1.00,402.52,45.40,1069.60,1.22,0.92,0.02,242.99,4021.07,1271.66
2,Bihar,912,Gaya,2012,1457.31,346.03,630.46,154.72,326.11,480.83,848.83,62.46,462.41,101.21,222.74,323.95,42.17,984.53,1.51,0.68,0.37,142.46,3477.81,1375.90
2,Bihar,913,Hazaribagh,1966,1161.55,439.30,320.48,242.52,159.25,401.77,239.37,148.07,53.38,19.78,18.14,37.92,56.83,543.82,1.99,0.21,0.00,57.08,2060.85,686.56
2,Bihar,913,Hazaribagh,1972,1178.73,500.55,393.65,137.64,146.90,284.54,227.46,135.40,59.37,15.96,16.74,32.70,44.23,598.47,1.76,0.09,0.00,84.71,2135.46,729.36
2,Bihar,913,Hazaribagh,1977,1287.29,528.53,403.52,159.68,195.57,355.24,250.56,148.12,61.43,20.41,20.61,41.02,57.54,724.86,1.97,0.07,0.06,91.37,2412.93,882.48
2,Bihar,914,Dhanbad,1966,305.11,128.49,89.75,41.25,45.63,86.88,55.34,37.03,11.86,3.38,3.08,6.46,82.14,132.67,0.30,0.17,0.00,15.76,591.51,263.55
2,Bihar,914,Dhanbad,1972,322.34,143.43,99.82,36.78,42.31,79.09,54.66,35.21,14.31,2.34,2.80,5.14,81.15,138.82,0.39,0.16,0.00,27.56,625.08,350.21
2,Bihar,914,Dhanbad,1977,343.90,149.68,106.05,43.18,45.00,88.17,61.13,34.75,18.57,3.85,3.95,7.80,99.85,187.87,0.25,0.08,0.00,28.48,721.56,398.32
2,Bihar,915,Palamau,1966,722.88,307.88,216.89,92.90,105.22,198.12,122.26,10.53,67.60,18.60,25.53,44.13,71.36,248.27,6.41,0.06,0.00,27.37,1198.62,382.89
2,Bihar,915,Palamau,1972,809.99,330.87,263.45,106.23,109.43,215.67,132.93,10.29,74.29,20.22,28.13,48.35,66.48,338.05,8.25,0.07,0.00,43.86,1399.62,440.01
2,Bihar,915,Palamau,1977,849.03,369.18,274.67,100.16,105.02,205.18,148.09,14.44,78.10,25.27,30.28,55.55,83.17,340.69,7.52,0.03,0.00,44.75,1473.28,434.57
2,Bihar,916,Ranchi,1966,1029.35,482.69,300.78,121.12,124.75,245.87,232.94,139.93,52.94,21.65,18.42,40.07,119.51,676.42,4.27,0.03,0.00,91.50,2154.03,1901.96
2,Bihar,916,Ranchi,1972,1117.04,534.36,336.15,118.43,128.10,246.53,217.72,135.79,51.36,16.16,14.40,30.56,94.77,691.45,4.13,0.01,0.00,112.72,2237.83,2129.46
2,Bihar,916,Ranchi,1977,1216.90,542.02,391.60,138.97,144.31,283.28,204.24,120.23,50.20,17.80,16.00,33.80,97.27,752.76,22.29,0.00,0.00,170.60,2464.23,2184.73
2,Bihar,917,Singhbhum,1966,858.50,425.54,238.39,95.17,99.41,194.57,93.90,67.73,15.85,6.08,4.23,10.31,260.97,557.98,0.27,0.12,0.00,26.25,1797.99,2130.20
2,Bihar,917,Singhbhum,1972,848.05,435.68,238.55,82.55,91.27,173.82,92.60,66.44,18.20,3.85,4.11,7.95,192.08,451.55,0.45,0.07,0.00,30.67,1615.46,2475.44
2,Bihar,917,Singhbhum,1977,849.66,405.47,252.42,94.03,97.73,191.76,91.15,60.57,20.50,5.41,4.67,10.08,243.97,584.41,0.14,0.02,0.01,32.01,1807.48,2704.92
